NRC;Periodo;Asignatura;Momento;Salon;Tipo;Id_Docente;Responsable;Sede_Docente;Ubicaci¢n;Tipo_Curso;Plantilla;Total_Alistamiento;Total_Ejecucion;Total_Curso;Valoracion;Email_Enviado
43-300;202443;Metodolog°a de la Investigac;3;B3-304;1;478259;AEMD;IBA;IBA;PD;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
43-303;202443;Formulaci¢n de Proyectos;1;B3-304;1;662326;ESP;IBA;IBA;PD;INNOVAME;30;36,3;46,3;Desempe§o insatisfactorio;SI
43-302;202443;Evaluaci¢n de Proyectos;2;B2-305;1;662326;ESP;IBA;IBA;PD;INNOVAME;20;30;50;Desempe§o insatisfactorio;-
43-304;202443;Gerencia del Conoc y la Tecnol;2;VIRTU;2;846904;ESP;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
43-56330;202443;Electiva;2;B3-304;1;738598;ESP;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
43-56333;202443;Ejecuci¢n de Proyectos;2;B3-305;1;826026;ESP;IBA;IBA;PD;INNOVAME;50;40;90;Desempe§o Bueno;-
43-56422;202443;Proyecto de Grado;3;VIRTU;2;738594;ESP;IBA;IBA;PD;INNOVAME;50;0;50;Desempe§o insatisfactorio;-
43-56476;202443;Direccionamiento EstratÇgico;1;B3-304;1;738594;ESP;IBA;IBA;PD;INNOVAME;50;42,6;92,6;Desempe§o Excelente;-
43-56477;202443;Competencias Gerenciales B†sic;2;VIRTU;2;805745;ESP;IBA;IBA;PD;INNOVAME;50;35;85;Desempe§o Bueno;-
43-56478;202443;Ejecuci¢n de Proyectos;1;B3-305;1;662326;ESP;IBA;IBA;PD;INNOVAME;30;35,4;45,4;Desempe§o insatisfactorio;SI
43-62543;202443;Evaluaci¢n de Proyectos;2;B3-305;1;662326;ESP;IBA;IBA;PD;INNOVAME;20;30;30;Desempe§o insatisfactorio;-
30-304;202430;Com Escrita y Proce Lect I;3;SALA A;1;535293;CSOD;IBA;IBA;PP;INNOVAME;35;50;85;Desempe§o Bueno;SI
30-335;202430;Planeaci¢n y Organizaci¢n;3;B3-303;1;486830;AETH;IBA;IBA;PP;CRIBA;30;50;80;Desempe§o Bueno;SI
30-336;202430;Macroeconom°a;3;B2-303;1;873433;ADFU;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-337;202430;Contabilidad y Costos Aplicado;3;B2-302;1;486830;AETH;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-338;202430;TÇcnicas de Cocina;3;B3-303;1;984452;AETH;IBA;IBA;PP;CRIBA;36,92307692;50;86,92307692;Desempe§o Bueno;SI
30-339;202430;TÇcnicas de Servicio de Alimen;3;B3-303;1;984452;AETH;IBA;IBA;PP;CRIBA;36,92307692;50;86,92307692;Desempe§o Bueno;SI
30-323;202430;Investigaci¢n Formativa;3;B3-302;1;532764;ADFU;IBA;IBA;PP;CRIBA;50;50;300;Desempe§o Excelente;-
30-322;202430;Electiva Cpc;3;B3-303;1;838355;CSOD;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-323;202430;Presupuestos;3;B3-303;1;845403;ADFU;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-324;202430;Electiva Cmd;3;B3-306;1;946743;AETH;IBA;IBA;PP;VACIO;0;0;0;No evaluada;-
30-325;202430;Turismo Sostenible y Ecoturism;3;B3-305;1;946743;AETH;IBA;IBA;PP;CRIBA;36,35384635;50;86,35384635;Desempe§o Bueno;SI
30-326;202430;Sistemas de Inform Tur°stica H;3;B2-305;1;984452;AETH;IBA;IBA;PP;CRIBA;36,35384635;50;86,35384635;Desempe§o Bueno;SI
30-327;202430;Recepci¢n y Habitaciones;3;B3-306;1;984452;AETH;IBA;IBA;PP;CRIBA;36,92307692;50;86,92307692;Desempe§o Bueno;SI
30-329;202430;Com Escrita y Proce Lect I;3;303;1;764485;CSOD;IBA;IBA;PP;INNOVAME;40;50;90;Desempe§o Bueno;SI
30-330;202430;Historia Socio Pol°tica de Col;3;B3-305;1;947897;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-333;202430;Ciencia Pol°tica;3;B2-304;1;948372;TRSOP;IBA;IBA;PP;VACIO;0;0;0;No evaluada;SI
30-332;202430;Proyecto de Vida;3;204;1;335365;PSID;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
30-333;202430;Cmd Desarrollo y Bienestar Soc;3;B2-304;1;363976;TRSO;IBA;IBA;PP;CRIBA;48,46353846;50;98,46353846;Desempe§o Excelente;SI
30-334;202430;An†lisis Hist¢rico del Trabajo;3;B3-305;1;985954;TRSO;IBA;IBA;PP;CRIBA;49,23076923;50;99,23076923;Desempe§o Excelente;SI
